Comment,Label,Comment_clean,Label_id
movie vara level la Erika poguthu,NON_HATE,movie vara level la erika poguthu,0.0
Padam nalla comedy padama irukum polaye..,NON_HATE,padam nalla comedy padama irukum polaye..,0.0
karthick subburaj anne .. intha padam vetri adaya unagalukku ennudaya valthukkal..,NON_HATE,karthick subburaj anne .. intha padam vetri adaya unagalukku ennudaya valthukkal..,0.0
கவுண்டர் தேவர்.சார்பாக வெற்றி பெற வாழ்த்துக்கள் 🦁,NON_HATE,கவுண்டர் தேவர்.சார்பாக வெற்றி பெற வாழ்த்துக்கள் 🦁,0.0
ippo intha trailer ah parkuravana oru like podunga,NON_HATE,ippo intha trailer ah parkuravana oru like podunga,0.0
En thalaivan yogi babu irukkaar. Padam vera level laa irukkum,NON_HATE,en thalaivan yogi babu irukkaar. padam vera level laa irukkum,0.0
Nerkonda parvai..  Sema sema sema trailer,NON_HATE,nerkonda parvai..  sema sema sema trailer,0.0
ஏய் இது 96 யார் ஏமாத்தறீங்க? செம பின்னிட்டீங்க,NON_HATE,ஏய் இது 96 யார் ஏமாத்தறீங்க? செம பின்னிட்டீங்க,0.0
படம் கண்டிப்பாக வெற்றி பெற வேண்டும் செம்ம vara level,NON_HATE,படம் கண்டிப்பாக வெற்றி பெற வேண்டும் செம்ம vara level,0.0
Correct. Enga apa military da oodi vilaiyada solli tharuvaayaa,HATE,correct. enga apa military da oodi vilaiyada solli tharuvaayaa,1.0
Dislike pottavan ratham khaki dha savan,NON_HATE,dislike pottavan ratham khaki dha savan,0.0
ANANDHI ARMY HIT LIKE!! Ennayum ipdi aakitingale Anandi.. #AnbukkuNanAdimai,NON_HATE,anandhi army hit like!! ennayum ipdi aakitingale anandi.. #anbukkunanadimai,0.0
Thalaivaa mass nadipin nayagan surya anna fans hits like,NON_HATE,thalaivaa mass nadipin nayagan surya anna fans hits like,0.0
இந்த படம் கண்டிப்பாக வெற்றியடைய வேண்டும் என வாழ்த்துகிறேன்..,NON_HATE,இந்த படம் கண்டிப்பாக வெற்றியடைய வேண்டும் என வாழ்த்துகிறேன்..,0.0
Hit like if anybody laughed during this 1.06 .. Thaamasuu!!,NON_HATE,hit like if anybody laughed during this 1.06 .. thaamasuu!!,0.0
"I Love vijay Anna, u r so cute anna",NON_HATE,"i love vijay anna, u r so cute anna",0.0
Dei Rajini pavam da ne varaven poraven ellam karithuppatha koraiya pesittu erukkan 1:58,HATE,dei rajini pavam da ne varaven poraven ellam karithuppatha koraiya pesittu erukkan 1:58,1.0
செட்டியார் இன மக்கள் சார்பாக எனது சொந்த செலவில் 100 டிக்கெட் இலவசமாக வழங்குகிறேன். படக்குழுவினர்க்கு எனது மனமார்ந்த வாழ்த்துக்கள்,NON_HATE,செட்டியார் இன மக்கள் சார்பாக எனது சொந்த செலவில் 100 டிக்கெட் இலவசமாக வழங்குகிறேன். படக்குழுவினர்க்கு எனது மனமார்ந்த வாழ்த்துக்கள்,0.0
Dhanush fans hit like here..,NON_HATE,dhanush fans hit like here..,0.0
"Dey dey deyy,, loosu pasangala,, munna pinna jayalalitha amma va pathrukingalada gambeeramna ennanu avanga kannula tha paakanum,, amma oda history ah ithu,, soniya gandhi mari iruku chaii,, avanga bio edukanumna a-z pathutu vanthu edungadaa,, dummy akkaathinga",HATE,"dey dey deyy,, loosu pasangala,, munna pinna jayalalitha amma va pathrukingalada gambeeramna ennanu avanga kannula tha paakanum,, amma oda history ah ithu,, soniya gandhi mari iruku chaii,, avanga bio edukanumna a-z pathutu vanthu edungadaa,, dummy akkaathinga",1.0
aathii yenna pa different aah eruku sama,NON_HATE,aathii yenna pa different aah eruku sama,0.0
Viswasam teaser Ku aprm yarllam inga vanteenga?,NON_HATE,viswasam teaser ku aprm yarllam inga vanteenga?,0.0
Intha maari comments ku like kekuravangala india va vittu veliya annupanum,HATE,intha maari comments ku like kekuravangala india va vittu veliya annupanum,1.0
250 k likes ineram sila arivuketta pundaika ithku karanam vivek obrai ila kajal ila aksara kakathanu innum sollala?,HATE,250 k likes ineram sila arivuketta pundaika ithku karanam vivek obrai ila kajal ila aksara kakathanu innum sollala?,1.0
Ellam okay than..but antha ponnu aasa pattu love panni avanaiye kola panna thappu illaya..yosinga..,NON_HATE,ellam okay than..but antha ponnu aasa pattu love panni avanaiye kola panna thappu illaya..yosinga..,0.0
Short film ah yum vittu vakalaya.. Enada panni vachirukeenga,HATE,short film ah yum vittu vakalaya.. enada panni vachirukeenga,1.0
Super  i am waiting,NON_HATE,super  i am waiting,0.0
Any Nani and Surya mutual fans?,NON_HATE,any nani and surya mutual fans?,0.0
தமிழ் நாட்ல இருக்குற சாதிய பைத்தியகார கூதியானுங்கள எல்லாம் ஓரே இடத்தில் பார்க்க ஒரு வாய்ப்பை தந்த மோகன் வன்னிக்கு சாரி பன்னிக்கு நன்றிகள்,HATE,தமிழ் நாட்ல இருக்குற சாதிய பைத்தியகார கூதியானுங்கள எல்லாம் ஓரே இடத்தில் பார்க்க ஒரு வாய்ப்பை தந்த மோகன் வன்னிக்கு சாரி பன்னிக்கு நன்றிகள்,1.0
Kekka bekka short film mathiri iruku,NON_HATE,kekka bekka short film mathiri iruku,0.0
"உங்க எல்லோரையும் பா. ரஞ்சித் எப்படி எல்லாம் கதர விட்டு இருக்காருன்னு இப்ப தான் புரியுது. அட்டகத்தி, மெட்ராஸ், பரியேறும் பெருமாள் இன்னும் எத்தனையோ படம் இன்னும் வர போகுது அதுக்கு எல்லோரும் மனச தேர்தி கொள்ளுங்க நண்பா",NON_HATE,"உங்க எல்லோரையும் பா. ரஞ்சித் எப்படி எல்லாம் கதர விட்டு இருக்காருன்னு இப்ப தான் புரியுது. அட்டகத்தி, மெட்ராஸ், பரியேறும் பெருமாள் இன்னும் எத்தனையோ படம் இன்னும் வர போகுது அதுக்கு எல்லோரும் மனச தேர்தி கொள்ளுங்க நண்பா",0.0
Hit Like If U Felt Watching #Sarkar Movie,NON_HATE,hit like if u felt watching #sarkar movie,0.0
Intha padamavuthu s.k ku nalla come back ah irukanum..,NON_HATE,intha padamavuthu s.k ku nalla come back ah irukanum..,0.0
Dance Illa p. Deva vai paarkave mudiyadhu pola,NON_HATE,dance illa p. deva vai paarkave mudiyadhu pola,0.0
"Love scenes la  Vera level thalaivar,",NON_HATE,"love scenes la  vera level thalaivar,",0.0
இந்த படம் மாபெரும் வெற்றியடையும்.  #கமல்ஹாசன் ரசிகா்களின் வாழ்த்துக்கள்,NON_HATE,இந்த படம் மாபெரும் வெற்றியடையும்.  #கமல்ஹாசன் ரசிகா்களின் வாழ்த்துக்கள்,0.0
STR MASS #ENIMEH NAMBA THAN DA,NON_HATE,str mass #enimeh namba than da,0.0
Otha vaaya odachiruven thalapathiya pathu sirichirukka,HATE,otha vaaya odachiruven thalapathiya pathu sirichirukka,1.0
B- Bhayakaramana A- Ajith I- In R-Rasigar A-Admitting  V-Vijay A-Anna A-Awesome <3,NON_HATE,b- bhayakaramana a- ajith i- in r-rasigar a-admitting  v-vijay a-anna a-awesome <3,0.0
Just 10 years apadiye elarum patha mathiri irukinga 🥳 padam vetriyadaya Vazthukal 🥳🥳🤩🤩,NON_HATE,just 10 years apadiye elarum patha mathiri irukinga 🥳 padam vetriyadaya vazthukal 🥳🥳🤩🤩,0.0
Die Hard #Thala Fans Hit LIKE..,NON_HATE,die hard #thala fans hit like..,0.0
"மணிரத்னம்,AR ரஹ்மான், வைரமுத்து, சந்தோஷ் சிவன்  தமிழ் சினிமா ல  இல்லல்ல இந்திய சினிமால யே கால் நூற்றாண்டுகளா(25 வருசம்) ஒரே team இல்லல்ல உண்மையான நண்பர்களா இருந்துகிட்டு இருக்காய்ங்கே னா அது இந்த team தான்  படம் எப்ப வரும் னு எதிர்பார்ப்பா இருக்கு.",NON_HATE,"மணிரத்னம்,ar ரஹ்மான், வைரமுத்து, சந்தோஷ் சிவன்  தமிழ் சினிமா ல  இல்லல்ல இந்திய சினிமால யே கால் நூற்றாண்டுகளா(25 வருசம்) ஒரே team இல்லல்ல உண்மையான நண்பர்களா இருந்துகிட்டு இருக்காய்ங்கே னா அது இந்த team தான்  படம் எப்ப வரும் னு எதிர்பார்ப்பா இருக்கு.",0.0
Singam Sinletha Varum  BAIRAVAA  Baikkiramma Varum,NON_HATE,singam sinletha varum  bairavaa  baikkiramma varum,0.0
Super semma mass from vijay fan,NON_HATE,super semma mass from vijay fan,0.0
